
"Sector","Year","avg_price"
"Basic Materials",2025,104.36867824796052
"Communication Services",2025,119.54718183874797
"Consumer Cyclical",2025,200.3423347053575
"Consumer Defensive",2025,84.36404126694505
"Energy",2025,75.77395435568334
"Financial Services",2025,115.26055126630573
"Healthcare",2025,133.3444668535957
"Industrials",2025,149.38870487065742
"Real Estate",2025,61.65279649200958
"Technology",2025,143.80199131117158
"Utilities",2025,75.71703456655582
